"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.361155000332323,0.356633606710488,0.358560650027298,21281.8,0.95,0.0416663827316859,0.62378769115945,0.5,12.228,NA,NA,NA,NA,NA
"kappa",8.20908540796701,6.98838242928167,4.8249594883192,9846.4,0.95,2.00111847641387,17.810155768835,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.587690098894027,0.588389587628392,0.588111191609618,23438.6,0.95,0.441611868721179,0.730857073226087,0.5,87.882,NA,NA,NA,NA,NA
"theta[2]",0.54648049032612,0.546435635977575,0.552601766228118,24298.3,0.95,0.414716197827421,0.679983668093034,0.5,75.062,NA,NA,NA,NA,NA
"theta[3]",0.320023455571384,0.31990047658055,0.321078070582975,31609.2,0.95,0.280182754520738,0.358911007634083,0.5,0,NA,NA,NA,NA,NA
"theta[4]",0.324746194725097,0.323306291881003,0.321867936985566,29408.3,0.95,0.23072178523511,0.420711908882463,0.5,0.038,NA,NA,NA,NA,NA
"theta[5]",0.177459368625875,0.176649321712105,0.17409185127641,29727.9,0.95,0.133883655202569,0.221662165245167,0.5,0,NA,NA,NA,NA,NA
"theta[1]-theta[2]",0.0412096085679068,0.0413883261005838,0.0463030011467873,31344.6,0.95,-0.145979533781188,0.228955260280631,0,66.49,NA,NA,NA,NA,NA
"theta[1]-theta[3]",0.267666643322643,0.268582786735127,0.275786547687798,23093.7,0.95,0.117971081505677,0.41658384504863,0,99.984,NA,NA,NA,NA,NA
"theta[1]-theta[4]",0.26294390416893,0.263639444624296,0.269869022350367,25009,0.95,0.0901179629542883,0.435495383065907,0,99.862,NA,NA,NA,NA,NA
"theta[1]-theta[5]",0.410230730268152,0.41096903914935,0.410243801936628,22809.9,0.95,0.259348474048597,0.56393490616906,0,100,NA,NA,NA,NA,NA
"theta[2]-theta[3]",0.226457034754736,0.226406371614645,0.228358294780989,24536.8,0.95,0.0852556018655212,0.362024443009237,0,99.95,NA,NA,NA,NA,NA
"theta[2]-theta[4]",0.221734295601023,0.222073766572476,0.22486866579585,25643,0.95,0.0630949205663972,0.386132754870724,0,99.602,NA,NA,NA,NA,NA
"theta[2]-theta[5]",0.369021121700245,0.368893428756917,0.365950669872669,23932.8,0.95,0.230321750643423,0.510870670070078,0,100,NA,NA,NA,NA,NA
"theta[3]-theta[4]",-0.00472273915371334,-0.00353143950821533,-0.00566352423543492,29878.6,0.95,-0.108158994074964,0.0962191661786911,0,47.272,NA,NA,NA,NA,NA
"theta[3]-theta[5]",0.142564086945509,0.142739325335308,0.139730421374126,31021.5,0.95,0.0847184863607691,0.200943195912181,0,100,NA,NA,NA,NA,NA
"theta[4]-theta[5]",0.147286826099222,0.146118035369087,0.14253687468115,29591.5,0.95,0.0456662815653168,0.253034191140498,0,99.814,NA,NA,NA,NA,NA
