"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.391934529289007,0.318506510030759,0.303666089839853,1364.8,0.95,0.00168936370036363,0.891807030145684,NA,NA,NA,NA,NA,NA,NA
"kappa",38.2607654246634,4.04856967974636,2.86216563824948,661.9,0.95,2,164.144135076469,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.323586307114269,0.317661229777369,0.305867658026678,20680.7,0.95,0.168473144955535,0.488844212915756,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.284482448478871,0.284172618889365,0.28322957011783,25897.1,0.95,0.22389597882998,0.34395578811663,NA,NA,NA,NA,NA,NA,NA
"theta[3]",0.296905021541288,0.296760348127305,0.297544777844055,29562.5,0.95,0.262173340042025,0.33214913433465,NA,NA,NA,NA,NA,NA,NA
"theta[4]",0.340970279734336,0.339536905726474,0.337080170792603,11649.4,0.95,0.267521615381871,0.414477860988157,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",0.0391038586353978,0.0326901019119415,0.020477856969907,16026.9,0.95,-0.126440293098024,0.213281395349233,0,67.016,NA,NA,NA,NA,NA
"theta[1]-theta[3]",0.0266812855729812,0.0205593130220824,0.0143342367752844,19130,0.95,-0.127863394947526,0.197784830667465,0,61.182,NA,NA,NA,NA,NA
"theta[1]-theta[4]",-0.0173839726200666,-0.0199657268635552,-0.0252546491851721,24516.9,0.95,-0.18806127899729,0.159164810776604,0,39.826,NA,NA,NA,NA,NA
"theta[2]-theta[3]",-0.0124225730624167,-0.0125358559730078,-0.0109952383784984,29033.9,0.95,-0.0798924072026176,0.0573108567676721,0,35.704,NA,NA,NA,NA,NA
"theta[2]-theta[4]",-0.0564878312554645,-0.0553152100135925,-0.0486661575748911,9514.5,0.95,-0.151940611445007,0.0365835442287937,0,11.678,NA,NA,NA,NA,NA
"theta[3]-theta[4]",-0.0440652581930478,-0.0427700296664195,-0.0378360809007757,11711.4,0.95,-0.126463319074944,0.0350551354781974,0,14.076,NA,NA,NA,NA,NA
